"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 19:22:44 GMT 2025","Mon Mar 31 19:22:44 GMT 2025","201","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание нового бронирования",""
"passed","Mon Mar 31 19:22:44 GMT 2025","Mon Mar 31 19:22:44 GMT 2025","80","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание бронирования с валидными данными",""
"passed","Mon Mar 31 19:22:45 GMT 2025","Mon Mar 31 19:22:45 GMT 2025","80","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение бронирования по Id",""
"passed","Mon Mar 31 19:22:44 GMT 2025","Mon Mar 31 19:22:44 GMT 2025","109","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение списка бронирований",""
"passed","Mon Mar 31 19:22:44 GMT 2025","Mon Mar 31 19:22:44 GMT 2025","58","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение бронирования по Id с невалидным media type",""
"passed","Mon Mar 31 19:22:42 GMT 2025","Mon Mar 31 19:22:44 GMT 2025","1840","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Mon Mar 31 19:22:44 GMT 2025","Mon Mar 31 19:22:44 GMT 2025","80","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидным паролем",""
"passed","Mon Mar 31 19:22:44 GMT 2025","Mon Mar 31 19:22:45 GMT 2025","205","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление бронирования по Id",""
