"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 31 19:10:12 GMT 2025","Mon Mar 31 19:10:13 GMT 2025","401","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение бронирования по Id",""
"passed","Mon Mar 31 19:10:09 GMT 2025","Mon Mar 31 19:10:10 GMT 2025","841","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание нового бронирования",""
"passed","Mon Mar 31 19:10:08 GMT 2025","Mon Mar 31 19:10:09 GMT 2025","405","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидным паролем",""
"failed","Mon Mar 31 19:10:10 GMT 2025","Mon Mar 31 19:10:11 GMT 2025","394","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение бронирования по Id с невалидным media type",""
"passed","Mon Mar 31 19:10:05 GMT 2025","Mon Mar 31 19:10:08 GMT 2025","2884","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Mon Mar 31 19:10:10 GMT 2025","Mon Mar 31 19:10:10 GMT 2025","626","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение списка бронирований",""
"passed","Mon Mar 31 19:10:11 GMT 2025","Mon Mar 31 19:10:11 GMT 2025","390","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание бронирования с валидными данными",""
"passed","Mon Mar 31 19:10:11 GMT 2025","Mon Mar 31 19:10:12 GMT 2025","1169","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление бронирования по Id",""
