"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 11:22:48 GMT 2025","Mon Aug 18 11:22:48 GMT 2025","408","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидным паролем",""
"passed","Mon Aug 18 11:22:51 GMT 2025","Mon Aug 18 11:22:52 GMT 2025","766","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание нового бронирования",""
"passed","Mon Aug 18 11:22:48 GMT 2025","Mon Aug 18 11:22:49 GMT 2025","448","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение списка бронирований",""
"passed","Mon Aug 18 11:22:49 GMT 2025","Mon Aug 18 11:22:49 GMT 2025","411","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание бронирования с валидными данными",""
"failed","Mon Aug 18 11:22:49 GMT 2025","Mon Aug 18 11:22:49 GMT 2025","399","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение бронирования по Id с невалидным media type",""
"passed","Mon Aug 18 11:22:49 GMT 2025","Mon Aug 18 11:22:51 GMT 2025","1185","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление бронирования по Id",""
"failed","Mon Aug 18 11:22:51 GMT 2025","Mon Aug 18 11:22:51 GMT 2025","403","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение бронирования по Id",""
"passed","Mon Aug 18 11:22:45 GMT 2025","Mon Aug 18 11:22:48 GMT 2025","2139","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
