"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 18:47:49 UTC 2025","Mon Mar 31 18:47:52 UTC 2025","2790","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Mon Mar 31 18:47:53 UTC 2025","Mon Mar 31 18:47:53 UTC 2025","203","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление бронирования по Id",""
"passed","Mon Mar 31 18:47:52 UTC 2025","Mon Mar 31 18:47:52 UTC 2025","159","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение списка бронирований",""
"failed","Mon Mar 31 18:47:53 UTC 2025","Mon Mar 31 18:47:53 UTC 2025","82","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение бронирования по Id",""
"passed","Mon Mar 31 18:47:52 UTC 2025","Mon Mar 31 18:47:52 UTC 2025","88","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидным паролем",""
"failed","Mon Mar 31 18:47:52 UTC 2025","Mon Mar 31 18:47:53 UTC 2025","80","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение бронирования по Id с невалидным media type",""
"passed","Mon Mar 31 18:47:53 UTC 2025","Mon Mar 31 18:47:53 UTC 2025","79","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание бронирования с валидными данными",""
"passed","Mon Mar 31 18:47:52 UTC 2025","Mon Mar 31 18:47:52 UTC 2025","199","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание нового бронирования",""
