"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 10 07:55:10 GMT 2025","Sun Aug 10 07:55:10 GMT 2025","392","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение бронирования по Id",""
"passed","Sun Aug 10 07:55:09 GMT 2025","Sun Aug 10 07:55:10 GMT 2025","1186","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление бронирования по Id",""
"passed","Sun Aug 10 07:55:08 GMT 2025","Sun Aug 10 07:55:09 GMT 2025","403","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание бронирования с валидными данными",""
"passed","Sun Aug 10 07:55:10 GMT 2025","Sun Aug 10 07:55:11 GMT 2025","775","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание нового бронирования",""
"passed","Sun Aug 10 07:55:08 GMT 2025","Sun Aug 10 07:55:08 GMT 2025","375","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение бронирования по Id с невалидным media type",""
"passed","Sun Aug 10 07:55:04 GMT 2025","Sun Aug 10 07:55:07 GMT 2025","3062","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Sun Aug 10 07:55:07 GMT 2025","Sun Aug 10 07:55:07 GMT 2025","409","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидным паролем",""
"passed","Sun Aug 10 07:55:08 GMT 2025","Sun Aug 10 07:55:08 GMT 2025","576","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение списка бронирований",""
