"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 10 07:39:36 GMT 2025","Sun Aug 10 07:39:38 GMT 2025","2102","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturnToken","Авторизация с валидными данными",""
"passed","Sun Aug 10 07:39:38 GMT 2025","Sun Aug 10 07:39:39 GMT 2025","152","","com.restfulbooker.api.ApiAuthTest","","com.restfulbooker.api.ApiAuthTest","authApiShouldReturn400ForInvalidPassword","Авторизация с невалидным паролем",""
"passed","Sun Aug 10 07:39:40 GMT 2025","Sun Aug 10 07:39:40 GMT 2025","149","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdShouldReturn200","Получение бронирования по Id",""
"passed","Sun Aug 10 07:39:39 GMT 2025","Sun Aug 10 07:39:39 GMT 2025","296","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingShouldReturn200","Получение списка бронирований",""
"passed","Sun Aug 10 07:39:39 GMT 2025","Sun Aug 10 07:39:39 GMT 2025","150","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","postBookingReturns200","Создание бронирования с валидными данными",""
"passed","Sun Aug 10 07:39:39 GMT 2025","Sun Aug 10 07:39:40 GMT 2025","411","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","deleteBookingReturns201","Удаление бронирования по Id",""
"passed","Sun Aug 10 07:39:40 GMT 2025","Sun Aug 10 07:39:40 GMT 2025","274","","com.restfulbooker.api.ApiCreateBookingTest","","com.restfulbooker.api.ApiCreateBookingTest","postBookingAndGetBooking","Создание нового бронирования",""
"passed","Sun Aug 10 07:39:39 GMT 2025","Sun Aug 10 07:39:39 GMT 2025","128","","com.restfulbooker.api.ApiStatusCodeTest","","com.restfulbooker.api.ApiStatusCodeTest","getBookingIdWithBadAcceptShouldReturn418","Получение бронирования по Id с невалидным media type",""
